tweet_count,user_name,text,created_at,retweet_count,favorite_count,reply_count
39,Jessica Gardner,"RT @BodiesFi: 🚨 Alert! $SOL Giveaway!

🤝 Our team is ready for long-term relationships with our community! 

We giving away $SOL only first…",2025-06-08 02:00:45+00:00,211,0,0
40,Moon 🌟🌕,"RT @trumpvmusk: $TRUMPMUSK is officially live.

Born from pure ego, weaponized by memes.
No roadmap. No utility. Just Trump, Musk, and your…",2025-06-08 02:00:45+00:00,3816,0,0
41,ᐢ..ᐢ ꒰ Jelly ꒱ ࣪ ⑅ 🎀 ɞ,"RT @Shiler_Whale: Introducing DIC (DIC) – The nostalgic power of 80s cartoons meets modern crypto!
🎨 Once a legendary name in animation, no…",2025-06-08 02:00:45+00:00,487,0,0
42,vindyyy,"RT @Altcoinshillpro: PopProp (POP) – Where Memes Meet Real Potential
🏡 A fresh meme coin on Solana that gives legends like Doge and Pepe a…",2025-06-08 02:00:43+00:00,61,0,0
43,kiyoo🍭,"RT @bislootnews: BISMERCH IS ON THE WAY!
As usual, more information is available on our site in the NEWS section.
An update on BiSvault wil…",2025-06-08 02:00:43+00:00,290,0,0
44,𝗗𝗜𝗩𝗔 •₿•💎✨,"@Charis_gi @solana @SolanaFndn You’re welcome, Charis ✨",2025-06-08 02:00:40+00:00,0,0,0
45,peony,"RT @Shiler_Whale: PopProp (POP) – Where Memes Meet Real Potential
🏡 A fresh meme coin on Solana that gives legends like Doge and Pepe a hom…",2025-06-08 02:00:40+00:00,64,0,0
46,ṼᎽKUS 💨,@AISUEDE @MayorDelMar Thanks for breaking down the differences between deploying on Ethereum and Solana—it really helped clarify things. The info on LayerZero ONFT costs is super helpful too. Your insights really hit home with the community. Exciting times ahead! $SUEDE☺️,2025-06-08 02:00:40+00:00,0,0,0
47,Rashimi Chiaruna,"RT @CryptoAlanReal: Keeping an Eye on $xhamster 👀

Backed by a based team, this project has the potential to reach Millions.

I’m spotting…",2025-06-08 02:00:39+00:00,420,0,0
48,Emaz,RT @gpeeetuk: Live Streaming a game built on @Solana - Vodou by @itsjujugames  from a @Solana powered Live Streaming platform - @switchedfu…,2025-06-08 02:00:35+00:00,4,0,0
49,Jazy Kretek,"RT @COWBOY_TBC: 🚨 $TBC AIRDROP IS LIVE 🤠💅
To kick off the launch of The Blockchain Cowgirl on #Solana, we’re dropping tokens to early suppo…",2025-06-08 02:00:33+00:00,497,0,0
50,CubanB.eth,"Saga Monkes (a free NFT for all Solana Saga holders) have officially flipped y00ts in floor price.

Saga Monkes- $1238
y00ts- $1209",2025-06-08 02:00:32+00:00,0,0,0
51,Andre warung,RT @Flame__live: Drop your solana wallet address. 🔥🔥,2025-06-08 02:00:31+00:00,789,0,0
52,peony,"RT @AltcoinHunter_1: 🚨 NEW MEME COIN JUST DROPPED 🚨

MOONKING 👑🐻 just launched on Solana 🚀

The crowned bear is here to rule the moon.

✅ 1…",2025-06-08 02:00:30+00:00,133,0,0
53,Milanskee KGeN,"RT @staynoize: Don't forget to make more $noize today 🔊

coming soon , only on solana

Retweet &amp; Drop your solana wallet address. https://t…",2025-06-08 02:00:30+00:00,39,0,0
54,ｒｉａｎｚｉツ,RT @bitknow_media: 1 SOLANA GA when we hit 5000 followers! 1 Random follower gets ALL! 🔥,2025-06-08 02:00:29+00:00,2413,0,0
55,vindyyy,"RT @Shiler_Whale: PopProp (POP) – Where Memes Meet Real Potential
🏡 A fresh meme coin on Solana that gives legends like Doge and Pepe a hom…",2025-06-08 02:00:28+00:00,64,0,0
56,90kelly 🐺⚔️,"RT @Tscxsol: HURRY NOW ! 

CLAIM 200,000 #TSC 

STEP 1 : 💟 &amp; 🔁 + Follow @Tscxsol 🔔

STEP 2 : Drop your #SOL wallet

First 200 wallets gets…",2025-06-08 02:00:28+00:00,9,0,0
57,Alisha,@bmt0011 @Jeremyybtc @FatCoin_Solana So long as you eat and not been eating,2025-06-08 02:00:24+00:00,0,1,0
58,𝗗𝗜𝗩𝗔 •₿•💎✨,@elvis_analyst @solana @SolanaFndn To love is to know 🥹🫢🫢,2025-06-08 02:00:23+00:00,0,0,0
